Reviews,Polarity
"It's the best growing company, in India where even warren buffet says that every country needs a jio communication network to get youth scintillation",2
Some issues come but always have been resolved in system and no cones from my side,2
It is the best and biggest company,2
It is the biggest service providing to all,2
Salary Right on time.,1
Compensations & benefits.,1
Good Working Environment.,1
Horrible work life balance.,-2
Lot of pressure as business first is the attitude no matter which field you belong to,-2
Nothing much to learn and explore.,-1
Priority of an individual life is last,-2
"No holidays, even on holidays you have to work without overtime.",-1
Hell For Freshers and they don't give any type of training.,-2
Job roles are not defined properly.,-1
Developed best relationship with dealers. Motivate the team & create a good work face.....,2
"Loosing the confidence,Thinking negatively. Do work with out planning & decision making....",-2
To make a supportive cultural so that employe can make an emotional touch with the organisation....,2
Tough to answer this question. No pros. Best employee dont want to work for them and will leave one day.,-2
Tyrant Management.,-2
No work appreciation.,-1
Negligible Increment.,-1
Not so loyal employee.,-1
No Culture.,-1
Low salaries.,-1
"6 days working, Salary is less related to other",-1
"Wide experience, growing industry, job guarantee for average performers and old timers. Relocation to almost any location within India possible as there is some Reliance business in every nook and corner of India.",2
"Growth is minimal. Not meritocracy based. Family run business , therefore performance review is only an administrative process. Once you are out of HQ office in Mumbai, working is 6 days , full days.Trainings are minimal.",-2
better chance to explore IT skill,1
Good salary,1
New technologies based learning,1
Scale and scope of work his huge,1
Infrastructure is awesome with excellent sports facilities,1
Culture need to improve,-1
Yearly appraisals,1
"Not a process driven company , it�s people driven company",-2
Work is very adhoc,-1
They offer job but u won't continue for long time,-1
"Everything.. jcm msl CSL,, all are one and make huge money by making dumy retailer wallet ... Don't credit exact incentives for retailers�",-2
Best to work as a Fresher and Experience,1
No Such Cons for Jio,2
"Work culture,growth,time management,helpfulness from the senior",2
"very bad management, salaries are very less for freshers. no proper training, working hour may extend up to 12 hours. management thinks that employees are their slaves",-2
only a company with big name,-2
"Beautiful ambiance, facilities, gym, internal shuttles",1
"less growth, poor HR Service, No hierarchy",-2
"good fecility , canteen , campas",1
"work load is more , no work life balance , bad management",-2
Good place to start your career,1
Didn't find any cons till now,2
Working with Reliance is great pleasure,1
good workculture,2
learning scope,1
feasible timings.,1
"Good pay for freshers , I have joined as fresher, No stress , Good working conditions , few learning sessions. Although infrastructure is goo its not a own building",1
"No life-work balance, No good canteen, can count people below 25 age on fingers mostly Elders are working",-2
Learn to deal with peoples and sap system.Helpful peoples to learn,1
Long working hours.. And concall during night time... No leave on public holiday,-1
"It is great n Reputed company, I found that my skills are matching there requirement.",1
Company dont care about there employees.,-1
"No process, no technical work",-1
Best Facilities & Working Environment !,1
Innovative ideas are encouraged in product procurement.,2
it is seen that Individual performance is averaged with others,-1
company encourage retaining older people & Promotions are very late for young / middle age employee.,-1
"Most promising Brand, Fastest growing telecom company in the world",2
Not Applicable. Everything is good.,1
They will give you good salary and claims. The job post will be satisfiable.,2
Should be able to do sales. There will not be concerned persons for your complaints.,2
As it is newly set up 4G Telecom Business. Its been a great experience to be a part of it and a lot of learning,-1
Business is not process oriented. It will take time for the same.,-1
The company has power to change the face of the country. Their infrastructure deployment and vision is futuristic.,-1
Work life balance is missing. Rewards and recognition is not there. Career growth path is also not clear.,-2
Good Company to work for,1
High target pressure which means low work life balance,-2
"Challenging, new technology, exposure, growth",2
"No Work life balanced, no process,",-2
They can hire u at any cost if u r good enough.,-1
"No flexibility in working hours, no work from home, no cab facility for shift employees.",-2
Good opportunity to learn new way of doing business,1
Just follow instructions,1
Not empowered much,-1
State of art telecom infrastructure with exposure to cutting edge technologies.,2
�Good hike,1
�Nice perks and benefits.,-1
Very conductive campus and official infrastructure.,-1
Need more planned approach towards any project.,-1
Much of the projects are just experimental and gets dropped midway. Need more professional and realistic approach towards management,-1
Good growth.,1
"Unlike other Software companies, you will not bound to only code fixing and development. Here along with that, you will have a vertical growth and have many opportunities to lead a complex team and even change your domain to a pure managerial one.",2
Low appraisal. Politics during appraisal. Compensation is less as compared to the complexity of work done.,-2
very good company to enjoy perfect personal and professional life.,1
It is a great achievement that you are working in this company,1
"learning new things from seniors and HOD of department, and knowledge sharing sessions conducted by Samsung which is very helpful for future point of view",2
"There is lot of challenges in JIO, now I am working on LTE and optimising KPI in parameter level so you should know about each and every parameter",2
"Good quality work, satisfaction, ok",1
Long working hours with no compensation,-1
great incentives provided by this company,2
Infrastructure facilities and less work pressure get a lot of time to learn new things,1
Less monitoring of your work. No manager interference,-1
They don't any respect of your new ideas,-1
Not a good company for freshers,-1
Good compensation for experienced folks. Typical product based company. Good work life balance.,2
Hike is less. Freshers are underpaid.,-1
It's my passion to wrok in jio infocomm. Also my dream. I want to do.,1
Challenges I love it. When I achive . So I love challenges.,2
"campus is good, Mukesh cares for young",1
Mid management drunk in power and can misuse authority over juniors always ahowing off whos boss without helping or direction is bad,-2
Least knowledge enhancement options. The company has disrupted the entire telecom employment.,-2
Least growth chances. Only reference and flattery of management matters,-1
Good Exposure for the Engineers,1
Good Staff and Great work experience,2
Low Pay and rigid timing,-1
Good infrastructure makes work culture better,1
Good infrastructure is not not the ONLY thing you want. Other than infra you can count on nothing in this company.,-1
HR system is very bad,-2
the work environment is good.,2
You have to don many hats meaning you get good exposure to different technologies,1
No work life balance.,-2
�No matter how much work you do salary hike will be the same as the rest.,-1
Salary on time.. Other than salary nothing could be a pro for an employee,-1
"Companies expects employees to do something during recruitment and make us do something else during the tenure, need to work even on sundays without compoff",-1
No work life balance,-2
Top management driven,2
Amazing learning opportunities,1
Industry first products,1
Unorganized management.,-2
Work provided by Architect is challenging and is not monotonous,2
Work is not balanced within the employees,-2
"Facilities apart from work like Food, Gym, BasketBall, Badminton, LawnTennis etc.",1
Work will be allocated to you only if you have done proper buttering to your manager otherwise sit and watch.,-1
worst HR policieS,-2
Too many extra working hours,-1
Good exposure to latest technology.,1
My team lacked leadership,-2
Everyone is busy impressing their boss,-1
You need to complete 9 hrs daily only thats matters,-1
"technical skill will go down by the time, you will used to kill your time. no improvement in yourself and no challenging work.",-2
Managers being partial to team members thus giving skilled people less incentive than the ones liked by them,-1
�Flexibility,1
good place to learn for freshers,1
Invarment is good smooth work,1
Without pushing working Starting end,1
Good employee benefits,1
Good to work with as you will get more advantages of working with senior managers and technical leads.,1
Get to work with cutting edge technologies,2
Great exposure and learning experience,2
Heaving loaded top management - career growth beyond a point may get stalled,-2
joining this company is biggest mistake of career.,-2
All resources are available,1
Management is a con,-2
Too many communication gap,-1
Best places to work. Start up environment with great managers,2
HR policies can be more transparent,-2
work environment is good.lot to learn as fresher,2
no cons.good to start your career.,2
"A good team support, Very helpful manager who always give positive support to his team mates",1
It will give a new life to all,1
Fix working time.,1
Pic up & drop facility till railway station.,1
Hectic shift timings for boys.,-1
Poor management,-2
Great company with good benefits and bonuses.,2
All the perks associated with a typical big organisation. Enough and more projects to handle. Friendly and flexible work environment. You�ll become jack of all trades in no time. Employee friendly HR policies.,2
Poor hike given or sometimes no hike given. State teams have no clarity on future plans of the company - company run on day to day firefighting mode. Nobody except members of apex team have any clue on what�s going to happen next. Power to make decisions or approve something only rests in the hands of few.,-1
Good company to work with for freshers.,1
"Work Life balance is sorted, Moderate work load. technology flexibility",2
"No work ethics, no professionalism, full of politics, very little or no hike at end of appraisal year and that too not given till december",-2
Good work life balance at the company,2
The team was great (it was a team that mostly constitue IIT alumni). Although I am not sure if they still are part of the team,2
"If you are smart enough and got some good contacts in the organization, get some good hike at joining itself. Thats it, nothing after that.",2
No cons because this is reputed company,2
Excellent place to work and Learn new things,1
"Loads of discussions, VCs, concall etc",1
"Good work environment, good facilities",2
"zero work life balance , less growth",-2
Mumbai office is state of art. Extremely beautiful campus. Work life balance,2
"Huge corporate politics, Self before organisation. Good employees choked",1
New Brand into the Market,1
No Space for Employee Personal Issues,-1
Only job security and company infrastructure. Good person leave and useless people stay at the company. Food is good at canteen.,1
"Worst in IT company, 70% of people don�t know about future of projects on which they are working. Lots if dirty politics at upper level. Learning is very less. No process no standard. You have to spend 9 hrs daily in the office even there is no work.",-2
"freedom to learn, good work environment",2
less hikes ,-1
"Only brand name , some non taxable salary components",-1
Great learning Experience.,2
Cheerful environment.,1
Flexibility to work in variety of fields.,1
"Good and lively team, work life balance is good",2
Repeatitive job and less growth,-1
I am still learning in this company and day by day its making me the best,1
Lot of innovative projects to work,2
Best place to work,2
No any cons found,2
Every thing is good for employeesis,1
nothing find as cons,2
They use Latest technology in Telecom,1
Low compensation,-1
Bad work culture,-2
No corporate culture,-2
No off on saturday,-1
Not a good option for freshers,-1
Most (99%) of the time task given is irritating.,-2
We work here as a team. We alway achieve our target on time.,2
MY PAYMENT IS SO LOW BECAUSE I WAS WORK HERE FROM 1 year and didn�t got any increments,-1
Lots to learn. Experience will make you ready to work in any conditions and still be able to focus on the job,2
No power other than top management just handling operations. Not getting appreciated enough. Always the company wants cent percent results. Not a practical view.,-1
Very Good company to work with,1
Need improvement on employee engagement. Replacement of senior management.,-1
Good medical benefits for family,1
Excellent Infrastructure,1
Best technologies,1
Good personal benefits,1
Best Infrastructure.,1
�Well maintained and clean environment . Good canteens .,1
Good work life balance,2
Development process is slow.Less learning opportunity for new technologies in software development.,-1
Not a very good company for technical people especially from CSE,-1
None benefits. Hell place to work,-2
"Too much politics , no leads. , role mismatch , tells to deal with the HNI vertical and lets you go on the roads",-2
Lots of learning,1
Freedom to choose Automation tools,1
There are no cons as such,2
A wider Network to gain knowledge until we get satisfied by our self,1
Thier is nothing like Cons,2
Free Gym facility is th only best part,-2
Poor pay structure,-1
No hike,-1
No new technology,-1
Healthy environment will make you learn more and Also monthly training sessions bring more out of you to work. Organization is good for freshers as they can choose their own profile.,1
"Excellent infrastructure, nice facilities, good brand name",1
Biggest challenge is to get all the cons. If ur manager is not good enough to allow you all this u r not going to survive more.,-1
They allow you to come up with different ideas which you have full liberty in implementing.,2
No cons as of now,2
You can think of retirement with this only infrastructure is good,-1
Salary on time . Team mates are helpful,1
Nothing is permanent management can ask to do anything. KRA can change at any moment,-1
It's a good opportunity for me and I have to started my carrier in reputed companies,1
I am able to work any condition. I have also able to work in willing condition.,1
"Open work culture, good projects available for freshers",1
"You get to work on some Good Projects, other than that, it is all down hill",1
"No planning , Just politics and Internal Rivalry of teams .",-2
"stressfree work environment, good benefits",2
Work is good .. good learnig curve,1
No appraisal. hopeless HR. Need to consider better minds as a assets,-2
try to help employees. dont play with their life,-2
Reliance Jio is one of the fastest growing telecom company in India. Corporate working culture. Friendly people.,1
Network Engineer staff is coopeartive,2
The official staff is not communication,-1
good to learn a lot of things,-1
U feel tension because here u have 3-4 managers giving their own work to do.,1
"Good company to learn, good work culture, work life balance",2
"Change of role, different teams integration",-1
Work with advanced technology and learn new skills and getting employee benefits.,2
More competition to get a chance. Need to show output quickly.,1
�Good facility's,1
There is no cons for this company,2
Great exposure to most recent technology in domain. Beautiful campus with lots of fun activities.,2
Nothing major. Vertical growth up the hierarchy is not easy.,1
"No particular cons. Good place for someone with experience, maybe not for freshers.",2
work with one of the best company,1
salary increments are low,1
Management can be better .working hours can get long due to work load and hr not helpful,-2
Great campus to work in mumbai,1
Works on latest technology in every aspects.,2
No work life balance .,-2
"No incentives , No Bonus ,Not a fair increments as per industry standards.",-2
salary based on previous CTC,1
Generally have good work life balance.,2
 No compromise on solutioning hence you get to work with world class products in parallel and come up with the best.,2
"Highly hierarchical structure, you have to stick to you boss",-2
Some people in the org are good and technically sound,1
Poor work culture .,-2
Very high work pressure most of the days.,-1
work and life balance if you are lucky,2
no pros only cons in this comapny,-2
"full time you have to give to the company, no personal life.",-1
It is a worst company ever. No need to even join the company.,-2
"Too archaic in terms of policy. No one has, or talks about accountability",-2
less technology knowledge transfer and document sharing,-1
"Lack of training causes many problems unnecessarily, particularly where the management of people at a local level is concerned.",-1
Resourcing team is too busy.. leave work very late,-1
Management is not good. You need to butter your manager to get promotion. Hard work is not counted at all.,-2
"Branch level and lead level people are unethical, play politics, corrupt, manipulate lot of thinks and present to top level organisation",-2
"No empowerment, you will not have the chance to make the most of your knowledge and experience.",-1
"Managing short term KPIs, presentations takes precedence over long term fundamental work",-1
no cons at the moment,1
Relatively lesser focus on Career Progression and Growth of employees. Processes are not streamlined and there is lack of job/role clarity.,-1
No guidance from managers at times when it is utmost required. Managers often take a team member as a scape goat .,-2
sometimes targets are hard to acheive. poor systems leading to poor service scores and effecting bonus,-1
"In terms of compensation, it does pay quiet lesser than what other companies do.
And also the work is of monotonous type of in which one doesn't learn new things.",-1
"Cab Facility , time to time gifts to employees , best work culture.",2
To much night work to do and much different problems to solve,-1
Outsourced positions are handled by other companies and there were not good in managing resources.,-1
"Management is not good, if you believe in working rather speaking about it to let others know u worked then this is not your dream company. If you do not tell others that you work d on it no one will bother to even consider you . Yes but the work will be appreciated by other name for sure",-2
"work life balance, no work from home policy.",-1
too much adm work and limited cross-role promotion opportunity,-1
"Work stress
Huge pressure on Target drive
working hours keeps extending, no extra pay for extra hours worked",-2
"No fixed work station, no proper management, no sports arena, bad canteen facilities and also no fixed weekly offs- keep on changing month on month- hardly sat and sun",-2
"distant serior management, no work/life balance",-2
None i can find. This is the best place to work.,2
Scope of growth for Service executives is slow,-1
"Tendency to outsource roles to India, difficult to get rid of incompetent people",-1
"Internal Processes, gaps and lack of ownership",-2
"There is nothing as such in cons, but just to mention:

*Lesser on campus fascilities.
*No gymnasium.
*No outdoor sports.",-1
Too much process oriented,-1
"Very bad systems
Long hours
Only 30mins breaks
Change to cover other stores with your staff all the time
No Asisstant Manager meetings (only manager or tech meetings)
You dont know rest of the staff on your region
Unrealistic targets every month
RM can't tell you how much commision you make each month ( no system for it)
Nothing is simple to sort out
Customers treat you like dirt because …  of poor service on phoneShow More",-2
Politics.. Favoritism... Hiring people based on contacts and not on merit...,-2
when customer gives bad review,-2
No wow factor in the company.Life is not simple strugglers will find this difficult.,-1
"Discontent runs rampant in the company, the bonus system is a joke as goal posts move constantly even in the middle of the month they will change targets. Seems to be little care for the sales advisors, no real career progression exists. Everything is a carrot on a stick.",-1
"Long Hours.
Varied Shifts.
Commission structure and wages can be improved.",-1
"1) No further career opportunities.
2) No Tax saving option, therefore if you get 2 Lakhs hike in Vodafone, the take home will remain same.
3) Finance team is horrible. Salary stop without any notification is very common here. Later when you have no salary, then you need to investigate, why that happened? They may release the amount basis on your efforts, but for 10-15 days person need to manage without any …  salary.
4) Salary increment happened as per Bell curve. So even if deliverables are completed, you may get low rating.
5) They have transport facility, but it is pathetic.
6) WFH facility is available, but subject to managers approval and manager don’t approve.
7) Buttering is at its best in here.
8) Big time politics.
9) HR Team only note down, issues but no actions.
Suggestion, if you still planning to join VISPL or VSSI, Please check your band, it should be F or higher and pay hike should be more than 5 Lakhs, since you will not get further hikes, due to bell curve.Show More",-2
"Management ask you to lie to customers to make them but things
Slow career progression
Colleagues fight like dogs to make sales and get jealous of one another
A whole system of lies right from the top to the bottom
Worst network to be with and work for",-2
"No cons that I feel like mentioning here.
It's just that you need to be careful during salary negotiation stage",1
"No one is there to listen to you.
No support from any of managers
No leaves given even if u die",-2
"Too much internal politics, reporting manager not helpful, takes long time to grow",-2
"poor training, sometimes a bit unorganised",-2
"internal processes are tedious, like a govt organisation",-1
"It's so hard to get promoted in the company, promotions take many years",-1
"Lack of standardization
Cost Reduction plans",-1
"Low salary increments.
Politics are to the maximum.
Those who cry will get the milk.
Higher targets.",-2
"unpredictable workload, too many changes in the management",-1
"salary stagnant,hard to progress,",-1
Not all circles have the same investment and technology to take on the competition.,-1
Lack of controls and oversight from London,-1
Telecom Market itself is not performing great but the company is overperforming,1
The customer service and working efficiency are still need to improve.,-1
going through a bad time,-1
"unstructured process for target market, lacks team collaboration to focus customer first values",-1
There are no downsides at the moment.,1
Too much load that may affect life if no time management.,-1
"Too much stress
Many manual operations",-2
No cons in my experience,2
"System are bit slow sometime, limited workplace",-1
There is a small problem,-1
"Work Pressures, No work-life balance",-2
Its easy to get lost in big circles. Moving up the ladder requires you to be mobile between states in India.,-1
"Plenty of favouritism
Leadership openly favours women over capable men
Low work life balance
Organisation doesn't do any career planning
Too much showbaazi at times",-2
Nothing bad to declare .,1
Technical Growth is quite slow,-1
You can lost money as easy as you can make it due to the detractors in the comission scheme as if you miss a target you would lose what you would have gained,-1
"1)employees no given enough opportunity to grow and movement in different team is real challange as the interviewer expect too much from an employee , instead the designation applied can me master in a few months .

2)Salary related issue : Internal movement salaries a too less compared to when an new employee is hired and manager get a lot",-2
"There are no systems to support managers in their day to job and senior management especially in technology shared services centre is outrageous. Corruption, arrogance and work delegation are the values here. If anyone is planning to join in development or testing or operations think twice. Friends might refer only for their referral bonus",-2
"Very hierarchical, convoluted processes, everyone does SALES!",-1
I have lots of benefits working with Vodafone i have learn Telecom Domain on working here,1
Often times their can be pressure to take extra work,-1
Good company to grow with,1
 Decision Making is relatively slow,-1
no time table mantanence either fine,-1
Experience improves skills to do more better after doing some mistakes while working in the company.,-1
none bonus during first months,-1
store work time for executives,-1
"- Dublin is still in start up mode and growing quickly. For most, this is part of the fun. If you don't want to work hard or can't adapt to challenges and changes, this isn't for you.",-1
Do not see any problems,1
Marketing and sales and team management.,-1
"As with any large organization, very fast career growth maynot be possible for all .",-1
"No set processes
Huge personal influence
Manmade work pressure
Many people had been harassed in this organisation by the senior personals because of behaviour problem.

no friendly environment at all. every day when you get up in the morning you just pray to get another job.

very poor leadership.",-2
No time limit to work.only entering time is fix,-1
Nothing like cons... It's a best org to work in,2
"Not good Management
Too many management changes",-1
"Nothing.
No cons
Nothing to criticize
Nothing to bother about
All good",2
"Slow decision making, too much red tape in processes",-1
Latency in decisions due to big hierarchy,-1
"lack of team leadership, every team member go and do things his own way
lack of procesdures and planning, most projects and tasks not get planned well, they start and inititate things first then try to plan for it
handover and knowledge transfer are not done properly you need to try to find solutions and dig many areas to get answers and solutions and to push some people hard to answer you or get back to …  you
policies are not clear they keep chaning
Job descriptions are not clear, from the day I joined till I left I did nto receive a job description document
start and go home time as well as team meeting time are not respected most of the timeShow More",-2
"High volumes of work and Long working hours leading to stress and fatigue.
Work spills into personal space as one is expected to respond and turn around things even on weekends
Male employees are quite condescending towards the female employees.
Too many internal projects running at the same time",-2
its nice nice nice nice,2
Most of the other teams that interact with us (mobile team) are not helpful and they always rush you to do the project they already delayed in.,-1
"Hike? Belcurve sucks.
Brainless ppl are sitting at a creamy management layer.
Way too far from Pune city, (Cant avoid that though)",-2
"Worst Management
No Hike
Office Politics
Worst middle level management
Good for people who does buttering to management",-2
not well pay and stressing,-2
"Extremely negative atmosphere
Poor work-life balance for Finance
Management responsiveness very poor
NO exit interviews",-2
Don't have any cons for Vodafone. I was impressed with everything that happened at Vodafone. The is really a challenge being cons,2
No clear structure for progress,-1
"Procedures
System maintanence
Dull office
Some Management Failures
Restricted Development Opportunities",-1
"no work life balance, no rewards for hardwork, top down approach",-2
"work vs. life balance, lack of salary adjustments",-1
Not good if u need to change profile or location.,-1
No downsides working here at Vodafone,1
Pathetic and cheap bosses who keep letching at women. Don't want to encourage women diversity and can't see women perform well. They only fill in their family members in their team and harrow other team ppl. Keep crafting stories against women if they don't get a chance with them. I'm complaining to the top management.. the top management expects women to resiliate on this. Keep abusing in front of women and keep …  making them wait till 11-12 in the night which is against the HR policy and still the management takes no action against such losers.Show More,-2
"the only con is that salary , now cnw is acquired by vodafone , so no good salaries as compared to market outside",-1
"Stressful sometimes especially in the marketing department , lots of work to do",-2
"Location of Head Quater, improve offers to customers, and network coverage",-1
Hard to maintain work life balance,-1
salary increment very less on annual basis,-1
"You will only go as far as your line manager permits you, in short the dept heads tend to take all the glory for your hard work instead of putting you in front of their peers to show what you can do/have done..
Some line managers are not interested/motivated.
Too many chiefs means that there are sometimes conflicting priorities and/or too much work for too few people to achieve success.",-2
the over competitiveness kills a friendly working environment,-1
Working on three different shifts,-1
"As a support group, there was work pressure even at night",-1
"Only offer 16 and 20 hour part time positions, bonus can be hard to achieve and changes regularly, lot of products change frequently, need to be always on the pa;;",-1
packages not at par with industry.,-1
Working Atmosphere need to be improved,-1
Nothing Much to say fantastic place to work only people has to change their mindsets when they come to world class company from an indian company,1
With responsibility comes the work pressure to deliver the best network sometimes it can make one feel as if he is 24*7,-2
"1. No Work life balance- slog for 20 hours till mid night
2. No proper induction, training or briefing of Job role
3. Work to please the Business head and not client
4. No incentives or Bonus
5. No hygienic work environment, BPO's office infrastructure is better. Loud and clumsy office infra that one cant hear its own voice. If you join, pls carry headache pills to office daily.
6. Frequent attrition …  of employees within the segment as a whole and team, movement in one of the sub teams is as high as 20 employees leaving within one year with employees leaving within a month's time post joining.
7. No system or process existing which leads to unwanted or repetition of work. In fact a Lala company works in a better fashion.
8. In case you join, pls negotiate with the HR on extra salary on account of payment of unnecessary parties ( which the company should sponsor), gifts for people whom you dont even know bla bla etc.
9. No drop facilities for women for late workings and no work ethics, sad for women employees
10. No rewards or recognition for hard work. Direct comparison on numbers with unfair means. Highly political and partial environment, no care for hard work or innovation/out of box thinking.Show More",-2
too much pressure and improper work life balance,-2
"Work pressure, lot of processes that eats up your productivity",-2
Because the company is very large decision making is slow and there are lot of processes which can be issue for both internal and external customers. Growth in the company carrier wise after a level is very slow or almost not there,-2
No Cons at all.The best company.,2
"Too many projects , focus missing sometimes, follower in the market",-1
Rigidity of management which leads to demotivate employee sometime.,-1
"It is miniature replica of Govt. ofIndia. Resources are wasted, nepotism, integrity issues in operating model",-1
"After Vodafone took ove Cable abd Wireless
1. No respect and benefits for seniors no matter what even if they are talented and dedicated
2. HR team mainly concentrated on Cost deduction with insane thoughts( Just pass outs will get higher salary in terms of lakhs compared to the experienced people in the concern but they will deduct money via tax,cab facilities from the existing employees. Employees are …  already getting less money compared to the newly hired etc
3. Internal movement has been made far from reach( Employees has to clear alteast 5 technical rounds to move to the next level but the outsiders with less technical knowledge along with the high package will be recruited with just two technical rounds).Better move after gaining an year's experience
4. Until you move to the 2nd Line.80% of the work will be process oriented. But it will take atleast 3 to 4 years from L1 to move to L2. But if you go out within a year and apply for L2 from outside after 3 months you can get it(Just because you are an outsider now.)
5. Deduction from salary for cab facilities
6. Poor coffee machine at the pantry
7. Eventhough your company's financial target is achieved far more than what they were expected to achieve, your hike will be same or less compared to the last year.
8. People who are deserving, talented, Skilled will never be hired or retained.If you are less skilled dont lose hope you will get it for sure. If you are applying for a technical position with no technical certification and zero technical knowledge,you are the chosen ones in contrast to the certified and technically sound employees.So the whole company is losing its talent pool because of the bad HR policies and recruitment strategy
9. Hilarious part is people who don't even work and don't have idea about more than 50% of the work they do will get the ""Best employee award""!!! at the annual meeting.Show More",-2
"Too much pressure
Bullying environment
HR are not ethical. To much push on diversity and not ethical thinking
If you haven't got a red badge you're frowned upon",-2
No opportunities to progress and learn anything new,-1
Except growth all is well,1
as im a fresher i dont have anything,-1
"Large organisation, takes some time to get approval. Some processes and procedures are waste of time - but this is changing and sure in next 12 months that will change",-1
"Less Technical exposure, process related company, lots of politics",-2
"disorganised, bureaucratic, overworked, stretched, parking",-2
Not a place for programmers,-1
Only lip service to delegated decision making. Very very poor career planning any guidance. Tendency to typecast people despite lip service to building careers.,-1
"Nothing to be specified, No cons in Vodafone",1
"1) gender biased decisions made for growth.
2) Management is not good
3) Onsite opportunities not given to people who actually work. Only Managers get the onsite",-2
"Unnecessary rules & regulations, lack of clarity on mission",-1
annoying managers who think they are above everyone else,-1
Change and adoption of industry standards is too slow. in house development and implementation takes long. No onsite opportunities. Stuck to old method of bell curve performance framework when many of the big players have already moved.,-1
"Bad employee evaluation
not very good motivation",-2
"Slow Growth
You will be stuck in one position for a really really really long time",-1
Not a good company to start your career with,-1
Opaque HR processes for promotions/ growth,-1
If you don't stand out in your area of expertise you run the risk of not being noticed. A downsides of working for a large organisation.,-1
"Extremely competitive environment.
Terrible work life balance, some people is used to get out after 12 hours of working, that should be illegal.
Nobody listen to your requests in HR department.
Too many people leave the company and too many enter in it, this cause a big lack of information and responsibilities, that often makes understanding of processes very difficult.
Difficult to grow up in …  vertical.
They keep hiring engineers and put them to do Project Management without barely advice during hiring phase.Show More",-2
large global team. difficult to make changes,-1
Work life balance. Although they take good care of your family.,1
career moving upward rather then paralel moves,1
"Stressful, a bit unstructured. Not enough standardization or communication and synchronization between individual entities",-2
takes decades to get things done - processes are awful,-2
Transport and Parking issues. Food not Good at Canteen specially at night shift.,-1
"slow, not reliable systems are used which create lots of extra work and frustration, still too much administration and burocracy, slow, not efficient procedures however it shows a tendency to get better and better as the company put emphasis to improve. Training opportunities are there in theory but then somehow they are not organized in an efficient way.",-2
nothing bad to mentioned for this company,1
"The work time is rotational, no fixed shift nor fixed weekends. Not enough flexibility. The elevator doesn't work and the food is either expensive or of bad quality.",-2
nothing.. nice place to work,2
Rotational shifts are a drwback for girls.,-1
Competitiveness in working environment making it stressful,-2
Long time working with low salary.,-1
Low Salary competition rules and laws are strict,-1
Learnings are limited; Struggling industry; Different culture driven at different Circles,-1
"Low salary and observe experience for each, no workflow, very less appreciation to the lower cadre though you work hard",-2
"1. Unfair place for female employees
2. Short term goal oriented
3. low work life balance",-2
we are really pleased to work in this MNC,2
"bullying and isolation with no action taken
not supportive with mental illness
no proper training on difficult systems
no 'thanks' for going above and beyond job role
NOT the job that was advertised
bonus is pretty much unachievable
parking - either risk your car being vandalised or pay £50 a month",-2
"1.) Lack of technical work. If you are technical guy and have another offer letter, I would advice you don't join it.
2.) L1 kind of work, Junior and Senior are doing same type of job. Professional growth will goes down.
3.) Onshore team does not supportive.
4.) Not flexible working hour
5.) Compensation structure does not good.",-2
not focusing on base and fundametals,-1
"Customer Friendly, Strict HSW Policy",1
"overtime not paid, no support of the management in your career development",-2
There is too much pressure and there are not structured program of career growth.,-2
