"","X","Reviews","Polarity"
"110",118,"Working with Reliance is great pleasure",1
"111",120,"good workculture",1
"112",121,"learning scope",1
"113",122,"feasible timings.",1
"114",123,"Good pay for freshers , I have joined as fresher, No stress , Good working conditions , few learning sessions. Although infrastructure is goo its not a own building",1
"115",124,"No life-work balance, No good canteen, can count people below 25 age on fingers mostly Elders are working",-1
"116",125,"Learn to deal with peoples and sap system.Helpful peoples to learn",1
"117",126,"Long working hours.. And concall during night time... No leave on public holiday",-1
"118",127,"It is great n Reputed company, I found that my skills are matching there requirement.",1
"119",128,"Company dont care about there employees.",-1
"120",130,"No process, no technical work",-1
"121",131,"Best Facilities & Working Environment !",1
"122",132,"Innovative ideas are encouraged in product procurement.",1
"123",133,"it is seen that Individual performance is averaged with others",-1
"124",134,"company encourage retaining older people & Promotions are very late for young / middle age employee.",-1
"125",135,"Most promising Brand, Fastest growing telecom company in the world",1
"126",136,"Not Applicable. Everything is good.",1
"127",137,"They will give you good salary and claims. The job post will be satisfiable.",1
"128",138,"Should be able to do sales. There will not be concerned persons for your complaints.",1
"129",139,"As it is newly set up 4G Telecom Business. Its been a great experience to be a part of it and a lot of learning",-1
"130",140,"Business is not process oriented. It will take time for the same.",-1
"131",141,"The company has power to change the face of the country. Their infrastructure deployment and vision is futuristic.",-1
"132",142,"Work life balance is missing. Rewards and recognition is not there. Career growth path is also not clear.",-1
"133",143,"Good Company to work for",1
"134",144,"High target pressure which means low work life balance",-1
"135",145,"Challenging, new technology, exposure, growth",1
"136",146,"No Work life balanced, no process,",-1
"137",147,"They can hire u at any cost if u r good enough.",-1
"138",148,"No flexibility in working hours, no work from home, no cab facility for shift employees.",-1
"139",149,"Good opportunity to learn new way of doing business",1
"140",150,"Just follow instructions",1
"141",151,"Not empowered much",-1
"142",152,"State of art telecom infrastructure with exposure to cutting edge technologies.",1
"143",153,"�Good hike",1
"144",154,"�Nice perks and benefits.",-1
"145",155,"Very conductive campus and official infrastructure.",-1
"146",156,"Need more planned approach towards any project.",-1
"147",157,"Much of the projects are just experimental and gets dropped midway. Need more professional and realistic approach towards management",-1
"148",158,"Good growth.",1
"149",159,"Unlike other Software companies, you will not bound to only code fixing and development. Here along with that, you will have a vertical growth and have many opportunities to lead a complex team and even change your domain to a pure managerial one.",1
"150",160,"Low appraisal. Politics during appraisal. Compensation is less as compared to the complexity of work done.",-1
"151",162,"very good company to enjoy perfect personal and professional life.",1
"152",164,"It is a great achievement that you are working in this company",1
"153",166,"learning new things from seniors and HOD of department, and knowledge sharing sessions conducted by Samsung which is very helpful for future point of view",1
"154",167,"There is lot of challenges in JIO, now I am working on LTE and optimising KPI in parameter level so you should know about each and every parameter",1
"155",168,"Good quality work, satisfaction, ok",1
"156",169,"Long working hours with no compensation",-1
"157",170,"great incentives provided by this company",1
"158",173,"Infrastructure facilities and less work pressure get a lot of time to learn new things",1
"159",174,"Less monitoring of your work. No manager interference",-1
"160",176,"They don't any respect of your new ideas",-1
"161",178,"Not a good company for freshers",-1
"162",179,"Good compensation for experienced folks. Typical product based company. Good work life balance.",1
"163",180,"Hike is less. Freshers are underpaid.",-1
"164",181,"It's my passion to wrok in jio infocomm. Also my dream. I want to do.",1
"165",182,"Challenges I love it. When I achive . So I love challenges.",1
"166",183,"campus is good, Mukesh cares for young",1
"167",184,"Mid management drunk in power and can misuse authority over juniors always ahowing off whos boss without helping or direction is bad",-1
"168",185,"Least knowledge enhancement options. The company has disrupted the entire telecom employment.",-1
"169",186,"Least growth chances. Only reference and flattery of management matters",-1
"170",187,"Good Exposure for the Engineers",1
"171",189,"Good Staff and Great work experience",1
"172",190,"Low Pay and rigid timing",-1
"173",191,"Good infrastructure makes work culture better",1
"174",192,"Good infrastructure is not not the ONLY thing you want. Other than infra you can count on nothing in this company.",-1
"175",194,"HR system is very bad",-1
"176",195,"the work environment is good.",1
"177",197,"You have to don many hats meaning you get good exposure to different technologies",1
"178",198,"No work life balance.",-1
"179",200,"�No matter how much work you do salary hike will be the same as the rest.",-1
"180",201,"Salary on time.. Other than salary nothing could be a pro for an employee",-1
"181",202,"Companies expects employees to do something during recruitment and make us do something else during the tenure, need to work even on sundays without compoff",-1
"182",203,"No work life balance",-1
"183",204,"Top management driven",1
"184",205,"Amazing learning opportunities",1
"185",206,"Industry first products",1
"186",207,"Unorganized management.",-1
"187",208,"Work provided by Architect is challenging and is not monotonous",1
"188",209,"Work is not balanced within the employees",-1
"189",210,"Facilities apart from work like Food, Gym, BasketBall, Badminton, LawnTennis etc.",1
"190",211,"Work will be allocated to you only if you have done proper buttering to your manager otherwise sit and watch.",-1
"191",212,"worst HR policieS",-1
"192",213,"Too many extra working hours",-1
"193",214,"Good exposure to latest technology.",1
"194",215,"My team lacked leadership",-1
"195",216,"Everyone is busy impressing their boss",-1
"196",217,"You need to complete 9 hrs daily only thats matters",-1
"197",218,"technical skill will go down by the time, you will used to kill your time. no improvement in yourself and no challenging work.",-1
"198",219,"Managers being partial to team members thus giving skilled people less incentive than the ones liked by them",-1
"199",220,"�Flexibility",1
"200",221,"good place to learn for freshers",1
"201",222,"Invarment is good smooth work",1
"202",223,"Without pushing working Starting end",1
"203",224,"Good employee benefits",1
"204",225,"Good to work with as you will get more advantages of working with senior managers and technical leads.",1
"205",226,"Get to work with cutting edge technologies",1
"206",227,"Great exposure and learning experience",1
"207",228,"Heaving loaded top management - career growth beyond a point may get stalled",-1
"208",229,"joining this company is biggest mistake of career.",-1
"209",230,"All resources are available",1
"210",231,"Management is a con",-1
"211",232,"Too many communication gap",-1
"212",233,"Best places to work. Start up environment with great managers",1
"213",234,"HR policies can be more transparent",-1
"214",235,"work environment is good.lot to learn as fresher",1
"215",236,"no cons.good to start your career.",1
"216",237,"A good team support, Very helpful manager who always give positive support to his team mates",1
"217",238,"It will give a new life to all",1
"218",239,"Fix working time.",1
"219",240,"Pic up & drop facility till railway station.",1
"220",243,"Hectic shift timings for boys.",-1
"221",244,"Poor management",-1
"222",245,"Great company with good benefits and bonuses.",1
"223",247,"All the perks associated with a typical big organisation. Enough and more projects to handle. Friendly and flexible work environment. You�ll become jack of all trades in no time. Employee friendly HR policies.",1
"224",248,"Poor hike given or sometimes no hike given. State teams have no clarity on future plans of the company - company run on day to day firefighting mode. Nobody except members of apex team have any clue on what�s going to happen next. Power to make decisions or approve something only rests in the hands of few.",-1
"225",249,"Good company to work with for freshers.",1
"226",250,"Work Life balance is sorted, Moderate work load. technology flexibility",1
"227",251,"No work ethics, no professionalism, full of politics, very little or no hike at end of appraisal year and that too not given till december",-1
"228",252,"Good work life balance at the company",1
"229",254,"The team was great (it was a team that mostly constitue IIT alumni). Although I am not sure if they still are part of the team",1
"230",256,"If you are smart enough and got some good contacts in the organization, get some good hike at joining itself. Thats it, nothing after that.",1
"231",259,"No cons because this is reputed company",1
"232",260,"Excellent place to work and Learn new things",1
"233",261,"Loads of discussions, VCs, concall etc",1
"234",262,"Good work environment, good facilities",1
"235",263,"zero work life balance , less growth",-1
"236",264,"Mumbai office is state of art. Extremely beautiful campus. Work life balance",1
"237",265,"Huge corporate politics, Self before organisation. Good employees choked",1
"238",266,"New Brand into the Market",1
"239",267,"No Space for Employee Personal Issues",-1
"240",268,"Only job security and company infrastructure. Good person leave and useless people stay at the company. Food is good at canteen.",1
"241",269,"Worst in IT company, 70% of people don�t know about future of projects on which they are working. Lots if dirty politics at upper level. Learning is very less. No process no standard. You have to spend 9 hrs daily in the office even there is no work.",-1
"242",270,"freedom to learn, good work environment",1
"243",271,"less hikes ",-1
"244",272,"Only brand name , some non taxable salary components",-1
"245",274,"Great learning Experience.",1
"246",275,"Cheerful environment.",1
"247",276,"Flexibility to work in variety of fields.",1
"248",279,"Good and lively team, work life balance is good",1
"249",280,"Repeatitive job and less growth",-1
"250",281,"I am still learning in this company and day by day its making me the best",1
"251",283,"Lot of innovative projects to work",1
"252",285,"Best place to work",1
"253",286,"No any cons found",1
"254",287,"Every thing is good for employeesis",1
"255",288,"nothing find as cons",1
"256",289,"They use Latest technology in Telecom",1
"257",290,"Low compensation",-1
"258",291,"Bad work culture",-1
"259",293,"No corporate culture",-1
"260",294,"No off on saturday",-1
"261",295,"Not a good option for freshers",-1
"262",297,"Most (99%) of the time task given is irritating.",-1
"263",299,"We work here as a team. We alway achieve our target on time.",1
"264",300,"MY PAYMENT IS SO LOW BECAUSE I WAS WORK HERE FROM 1 year and didn�t got any increments",-1
"265",301,"Lots to learn. Experience will make you ready to work in any conditions and still be able to focus on the job",1
"266",302,"No power other than top management just handling operations. Not getting appreciated enough. Always the company wants cent percent results. Not a practical view.",-1
"267",303,"Very Good company to work with",1
"268",304,"Need improvement on employee engagement. Replacement of senior management.",-1
"269",308,"Good medical benefits for family",1
"270",309,"Excellent Infrastructure",1
"271",310,"Best technologies",1
"272",311,"Good personal benefits",1
"273",313,"Best Infrastructure.",1
"274",314,"�Well maintained and clean environment . Good canteens .",1
"275",317,"Good work life balance",1
"276",318,"Development process is slow.Less learning opportunity for new technologies in software development.",-1
"277",319,"Not a very good company for technical people especially from CSE",-1
"278",320,"None benefits. Hell place to work",-1
"279",321,"Too much politics , no leads. , role mismatch , tells to deal with the HNI vertical and lets you go on the roads",-1
"280",322,"Lots of learning",1
"281",323,"Freedom to choose Automation tools",1
"282",324,"There are no cons as such",1
"283",325,"A wider Network to gain knowledge until we get satisfied by our self",1
"284",326,"Thier is nothing like Cons",1
"285",329,"Free Gym facility is th only best part",-1
"286",330,"Poor pay structure",-1
"287",331,"No hike",-1
"288",332,"No new technology",-1
"289",333,"Healthy environment will make you learn more and Also monthly training sessions bring more out of you to work. Organization is good for freshers as they can choose their own profile.",1
"290",334,"Excellent infrastructure, nice facilities, good brand name",1
"291",335,"Biggest challenge is to get all the cons. If ur manager is not good enough to allow you all this u r not going to survive more.",-1
"292",336,"They allow you to come up with different ideas which you have full liberty in implementing.",1
"293",337,"No cons as of now",1
"294",338,"You can think of retirement with this only infrastructure is good",-1
"295",339,"Salary on time . Team mates are helpful",1
"296",340,"Nothing is permanent management can ask to do anything. KRA can change at any moment",-1
"297",341,"It's a good opportunity for me and I have to started my carrier in reputed companies",1
"298",342,"I am able to work any condition. I have also able to work in willing condition.",1
"299",343,"Open work culture, good projects available for freshers",1
"300",345,"You get to work on some Good Projects, other than that, it is all down hill",1
"301",346,"No planning , Just politics and Internal Rivalry of teams .",-1
"302",347,"stressfree work environment, good benefits",1
"303",349,"Work is good .. good learnig curve",1
"304",350,"No appraisal. hopeless HR. Need to consider better minds as a assets",-1
"305",351,"try to help employees. dont play with their life",-1
"306",352,"Reliance Jio is one of the fastest growing telecom company in India. Corporate working culture. Friendly people.",1
"307",356,"Network Engineer staff is coopeartive",1
"308",357,"The official staff is not communication",-1
"309",358,"good to learn a lot of things",-1
"310",359,"U feel tension because here u have 3-4 managers giving their own work to do.",1
"311",360,"Good company to learn, good work culture, work life balance",1
"312",361,"Change of role, different teams integration",-1
"313",362,"Work with advanced technology and learn new skills and getting employee benefits.",1
"314",363,"More competition to get a chance. Need to show output quickly.",1
"315",365,"�Good facility's",1
"316",366,"There is no cons for this company",1
"317",367,"Great exposure to most recent technology in domain. Beautiful campus with lots of fun activities.",1
"318",368,"Nothing major. Vertical growth up the hierarchy is not easy.",1
"319",369,"No particular cons. Good place for someone with experience, maybe not for freshers.",1
"320",371,"work with one of the best company",1
"321",372,"salary increments are low",1
"322",375,"Management can be better .working hours can get long due to work load and hr not helpful",-1
"323",376,"Great campus to work in mumbai",1
"324",378,"Works on latest technology in every aspects.",1
"325",380,"No work life balance .",-1
"326",381,"No incentives , No Bonus ,Not a fair increments as per industry standards.",-1
"327",383,"salary based on previous CTC",1
"328",384,"Generally have good work life balance.",1
"329",386," No compromise on solutioning hence you get to work with world class products in parallel and come up with the best.",1
"330",387,"Highly hierarchical structure, you have to stick to you boss",-1
"331",389,"Some people in the org are good and technically sound",1
"332",390,"Poor work culture .",-1
"333",391,"Very high work pressure most of the days.",-1
"334",392,"work and life balance if you are lucky",1
"335",393,"no pros only cons in this comapny",-1
"336",394,"full time you have to give to the company, no personal life.",-1
"337",395,"It is a worst company ever. No need to even join the company.",-1
"338",396,"Too archaic in terms of policy. No one has, or talks about accountability",-1
"339",397,"less technology knowledge transfer and document sharing",-1
"340",398,"Lack of training causes many problems unnecessarily, particularly where the management of people at a local level is concerned.",-1
"341",399,"Resourcing team is too busy.. leave work very late",-1
"342",400,"Management is not good. You need to butter your manager to get promotion. Hard work is not counted at all.",-1
"343",402,"Branch level and lead level people are unethical, play politics, corrupt, manipulate lot of thinks and present to top level organisation",-1
"344",403,"No empowerment, you will not have the chance to make the most of your knowledge and experience.",-1
"345",404,"Managing short term KPIs, presentations takes precedence over long term fundamental work",-1
"346",405,"no cons at the moment",1
"347",406,"Relatively lesser focus on Career Progression and Growth of employees. Processes are not streamlined and there is lack of job/role clarity.",-1
"348",407,"No guidance from managers at times when it is utmost required. Managers often take a team member as a scape goat .",-1
"349",408,"sometimes targets are hard to acheive. poor systems leading to poor service scores and effecting bonus",-1
"350",409,"In terms of compensation, it does pay quiet lesser than what other companies do.
And also the work is of monotonous type of in which one doesn't learn new things.",-1
"351",412,"Cab Facility , time to time gifts to employees , best work culture.",1
"352",413,"To much night work to do and much different problems to solve",-1
"353",414,"Outsourced positions are handled by other companies and there were not good in managing resources.",-1
"354",415,"Management is not good, if you believe in working rather speaking about it to let others know u worked then this is not your dream company. If you do not tell others that you work d on it no one will bother to even consider you . Yes but the work will be appreciated by other name for sure",-1
"355",416,"work life balance, no work from home policy.",-1
"356",417,"too much adm work and limited cross-role promotion opportunity",-1
"357",418,"Work stress
Huge pressure on Target drive
working hours keeps extending, no extra pay for extra hours worked",-1
"358",419,"No fixed work station, no proper management, no sports arena, bad canteen facilities and also no fixed weekly offs- keep on changing month on month- hardly sat and sun",-1
"359",420,"distant serior management, no work/life balance",-1
"360",421,"None i can find. This is the best place to work.",1
"361",422,"Scope of growth for Service executives is slow",-1
"362",423,"Tendency to outsource roles to India, difficult to get rid of incompetent people",-1
"363",425,"Internal Processes, gaps and lack of ownership",-1
"364",426,"There is nothing as such in cons, but just to mention:

*Lesser on campus fascilities.
*No gymnasium.
*No outdoor sports.",-1
"365",427,"Too much process oriented",-1
"366",428,"Very bad systems
Long hours
Only 30mins breaks
Change to cover other stores with your staff all the time
No Asisstant Manager meetings (only manager or tech meetings)
You dont know rest of the staff on your region
Unrealistic targets every month
RM can't tell you how much commision you make each month ( no system for it)
Nothing is simple to sort out
Customers treat you like dirt because …  of poor service on phoneShow More",-1
"367",431,"Politics.. Favoritism... Hiring people based on contacts and not on merit...",-1
"368",433,"when customer gives bad review",-1
"369",434,"No wow factor in the company.Life is not simple strugglers will find this difficult.",-1
"370",435,"Discontent runs rampant in the company, the bonus system is a joke as goal posts move constantly even in the middle of the month they will change targets. Seems to be little care for the sales advisors, no real career progression exists. Everything is a carrot on a stick.",-1
"371",436,"Long Hours.
Varied Shifts.
Commission structure and wages can be improved.",-1
"372",437,"1) No further career opportunities.
2) No Tax saving option, therefore if you get 2 Lakhs hike in Vodafone, the take home will remain same.
3) Finance team is horrible. Salary stop without any notification is very common here. Later when you have no salary, then you need to investigate, why that happened? They may release the amount basis on your efforts, but for 10-15 days person need to manage without any …  salary.
4) Salary increment happened as per Bell curve. So even if deliverables are completed, you may get low rating.
5) They have transport facility, but it is pathetic.
6) WFH facility is available, but subject to managers approval and manager don’t approve.
7) Buttering is at its best in here.
8) Big time politics.
9) HR Team only note down, issues but no actions.
Suggestion, if you still planning to join VISPL or VSSI, Please check your band, it should be F or higher and pay hike should be more than 5 Lakhs, since you will not get further hikes, due to bell curve.Show More",-1
"373",438,"Management ask you to lie to customers to make them but things
Slow career progression
Colleagues fight like dogs to make sales and get jealous of one another
A whole system of lies right from the top to the bottom
Worst network to be with and work for",-1
"374",439,"No cons that I feel like mentioning here.
It's just that you need to be careful during salary negotiation stage",1
"375",440,"No one is there to listen to you.
No support from any of managers
No leaves given even if u die",-1
"376",441,"Too much internal politics, reporting manager not helpful, takes long time to grow",-1
"377",442,"poor training, sometimes a bit unorganised",-1
"378",443,"internal processes are tedious, like a govt organisation",-1
"379",444,"It's so hard to get promoted in the company, promotions take many years",-1
"380",447,"Lack of standardization
Cost Reduction plans",-1
"381",448,"Low salary increments.
Politics are to the maximum.
Those who cry will get the milk.
Higher targets.",-1
"382",449,"unpredictable workload, too many changes in the management",-1
"383",450,"salary stagnant,hard to progress,",-1
"384",451,"Not all circles have the same investment and technology to take on the competition.",-1
"385",454,"Lack of controls and oversight from London",-1
"386",455,"Telecom Market itself is not performing great but the company is overperforming",1
"387",458,"The customer service and working efficiency are still need to improve.",-1
"388",459,"going through a bad time",-1
"389",460,"unstructured process for target market, lacks team collaboration to focus customer first values",-1
"390",461,"There are no downsides at the moment.",1
"391",462,"Too much load that may affect life if no time management.",-1
"392",463,"Too much stress
Many manual operations",-1
"393",464,"No cons in my experience",1
"394",465,"System are bit slow sometime, limited workplace",-1
"395",467,"There is a small problem",-1
"396",468,"Work Pressures, No work-life balance",-1
"397",469,"Its easy to get lost in big circles. Moving up the ladder requires you to be mobile between states in India.",-1
"398",470,"Plenty of favouritism
Leadership openly favours women over capable men
Low work life balance
Organisation doesn't do any career planning
Too much showbaazi at times",-1
"399",471,"Nothing bad to declare .",1
"400",472,"Technical Growth is quite slow",-1
"401",473,"You can lost money as easy as you can make it due to the detractors in the comission scheme as if you miss a target you would lose what you would have gained",-1
"402",474,"1)employees no given enough opportunity to grow and movement in different team is real challange as the interviewer expect too much from an employee , instead the designation applied can me master in a few months .

2)Salary related issue : Internal movement salaries a too less compared to when an new employee is hired and manager get a lot",-1
"403",475,"There are no systems to support managers in their day to job and senior management especially in technology shared services centre is outrageous. Corruption, arrogance and work delegation are the values here. If anyone is planning to join in development or testing or operations think twice. Friends might refer only for their referral bonus",-1
"404",476,"Very hierarchical, convoluted processes, everyone does SALES!",-1
"405",477,"I have lots of benefits working with Vodafone i have learn Telecom Domain on working here",1
"406",478,"Often times their can be pressure to take extra work",-1
"407",479,"Good company to grow with",1
"408",481," Decision Making is relatively slow",-1
"409",482,"no time table mantanence either fine",-1
"410",483,"Experience improves skills to do more better after doing some mistakes while working in the company.",-1
"411",484,"none bonus during first months",-1
"412",485,"store work time for executives",-1
"413",486,"- Dublin is still in start up mode and growing quickly. For most, this is part of the fun. If you don't want to work hard or can't adapt to challenges and changes, this isn't for you.",-1
"414",487,"Do not see any problems",1
"415",488,"Marketing and sales and team management.",-1
"416",489,"As with any large organization, very fast career growth maynot be possible for all .",-1
"417",490,"No set processes
Huge personal influence
Manmade work pressure
Many people had been harassed in this organisation by the senior personals because of behaviour problem.

no friendly environment at all. every day when you get up in the morning you just pray to get another job.

very poor leadership.",-1
"418",491,"No time limit to work.only entering time is fix",-1
"419",492,"Nothing like cons... It's a best org to work in",1
"420",493,"Not good Management
Too many management changes",-1
"421",494,"Nothing.
No cons
Nothing to criticize
Nothing to bother about
All good",1
"422",495,"Slow decision making, too much red tape in processes",-1
"423",496,"Latency in decisions due to big hierarchy",-1
"424",497,"lack of team leadership, every team member go and do things his own way
lack of procesdures and planning, most projects and tasks not get planned well, they start and inititate things first then try to plan for it
handover and knowledge transfer are not done properly you need to try to find solutions and dig many areas to get answers and solutions and to push some people hard to answer you or get back to …  you
policies are not clear they keep chaning
Job descriptions are not clear, from the day I joined till I left I did nto receive a job description document
start and go home time as well as team meeting time are not respected most of the timeShow More",-1
"425",498,"High volumes of work and Long working hours leading to stress and fatigue.
Work spills into personal space as one is expected to respond and turn around things even on weekends
Male employees are quite condescending towards the female employees.
Too many internal projects running at the same time",-1
"426",499,"its nice nice nice nice",1
"427",500,"Most of the other teams that interact with us (mobile team) are not helpful and they always rush you to do the project they already delayed in.",-1
"428",501,"Hike? Belcurve sucks.
Brainless ppl are sitting at a creamy management layer.
Way too far from Pune city, (Cant avoid that though)",-1
"429",502,"Worst Management
No Hike
Office Politics
Worst middle level management
Good for people who does buttering to management",-1
"430",503,"not well pay and stressing",-1
"431",504,"Extremely negative atmosphere
Poor work-life balance for Finance
Management responsiveness very poor
NO exit interviews",-1
"432",505,"Don't have any cons for Vodafone. I was impressed with everything that happened at Vodafone. The is really a challenge being cons",1
"433",506,"No clear structure for progress",-1
"434",507,"Procedures
System maintanence
Dull office
Some Management Failures
Restricted Development Opportunities",-1
"435",508,"no work life balance, no rewards for hardwork, top down approach",-1
"436",509,"work vs. life balance, lack of salary adjustments",-1
"437",510,"Not good if u need to change profile or location.",-1
"438",511,"No downsides working here at Vodafone",1
"439",512,"Pathetic and cheap bosses who keep letching at women. Don't want to encourage women diversity and can't see women perform well. They only fill in their family members in their team and harrow other team ppl. Keep crafting stories against women if they don't get a chance with them. I'm complaining to the top management.. the top management expects women to resiliate on this. Keep abusing in front of women and keep …  making them wait till 11-12 in the night which is against the HR policy and still the management takes no action against such losers.Show More",-1
"440",513,"the only con is that salary , now cnw is acquired by vodafone , so no good salaries as compared to market outside",-1
"441",514,"Stressful sometimes especially in the marketing department , lots of work to do",-1
"442",515,"Location of Head Quater, improve offers to customers, and network coverage",-1
"443",516,"Hard to maintain work life balance",-1
"444",517,"salary increment very less on annual basis",-1
"445",518,"You will only go as far as your line manager permits you, in short the dept heads tend to take all the glory for your hard work instead of putting you in front of their peers to show what you can do/have done..
Some line managers are not interested/motivated.
Too many chiefs means that there are sometimes conflicting priorities and/or too much work for too few people to achieve success.",-1
"446",519,"the over competitiveness kills a friendly working environment",-1
"447",520,"Working on three different shifts",-1
"448",521,"As a support group, there was work pressure even at night",-1
"449",522,"Only offer 16 and 20 hour part time positions, bonus can be hard to achieve and changes regularly, lot of products change frequently, need to be always on the pa;;",-1
"450",523,"packages not at par with industry.",-1
"451",524,"Working Atmosphere need to be improved",-1
"452",527,"Nothing Much to say fantastic place to work only people has to change their mindsets when they come to world class company from an indian company",1
"453",528,"With responsibility comes the work pressure to deliver the best network sometimes it can make one feel as if he is 24*7",-1
